simplified,radical,level,frequency,pos,pinyin,meanings,count
和平共处,口,7,21788,v,hé píng gòng chǔ,"peaceful coexistence of nations, societies etc",1
和气,口,7,21572,a,hé qi,"friendly,polite,amiable",1
和尚,口,7,7896,n,hé shang,Buddhist monk,1
和谐,口,6,3883,a,hé xié,"harmonious,harmony,(euphemism) to censor",1
河,氵,3,2245,n,hé,river,1
河流,氵,5,8996,n,hé liú,river,1
河畔,氵,7,21001,n,hé pàn,"riverside,river plain",1
核,木,7,3233,n,hé,"pit,stone,nucleus,nuclear,to examine,to check,to verify",2
核电站,木,7,17531,n,hé diàn zhàn,nuclear power plant,1
核对,木,7,12081,v,hé duì,"to check,to verify,to audit,to examine",1
核能,木,7,16681,n,hé néng,nuclear energy,1
核实,木,7,9308,v,hé shí,to verify; to check,1
核桃,木,7,11751,n,hé tao,walnut,1
核武器,木,7,8000,n,hé wǔ qì,nuclear weapon,1
核心,木,6,3481,n,hé xīn,core; nucleus,1
荷花,艹,7,37141,n,hé huā,lotus,1
盒,皿,5,2963,g,hé,"small box,case",1
盒饭,皿,5,23326,n,hé fàn,meal in a partitioned box,1
盒子,皿,4,6250,n,hé zi,"box,case",1
贺电,贝,7,38140,n,hè diàn,congratulatory telegram,1
贺卡,贝,5,14997,n,hè kǎ,"greeting card,congratulation card",1
贺信,贝,7,62722,n,hè xìn,congratulatory letter or message,1
赫然,赤,7,27483,z,hè rán,"with astonishment,with a shock,awe-inspiringly,impressively,furiously (angry)",1
鹤立鸡群,鸟,7,36715,v,hè lì jī qún,"a crane in a flock of chicken (idiom); way above the common,manifestly superior",1
黑,黑,5,724,a,Hēi,abbr. for Heilongjiang province 黑龙江,2
黑暗,黑,6,3217,a,hēi àn,"dark,darkly,darkness",1
黑白,黑,7,9163,b,hēi bái,"black and white,right and wrong,monochrome",1
黑板,黑,3,15524,n,hēi bǎn,blackboard,1
黑客,黑,7,8262,n,hēi kè,hacker (computing) (loanword),1
黑马,黑,7,14789,n,hēi mǎ,"dark horse,fig. unexpected winner",1
黑色,黑,2,2362,n,hēi sè,black,1
黑手,黑,7,15445,n,hēi shǒu,"(fig.) malign agent who manipulates from behind the scenes,hidden hand,(Tw) mechanic,blue-collar worker,manual laborer",1
黑心,黑,7,20944,n,hēi xīn,"ruthless and lacking in conscience,vicious mind full of hatred and jealousy,black core (flaw in pottery)",1
黑夜,黑,6,8434,n,hēi yè,night,1
嘿,口,6,2729,e,hēi,hey,1
痕迹,疒,6,4154,n,hén jì,"vestige,mark,trace",1
很,彳,1,35,d,hěn,"(adverb of degree),quite,very,awfully",1
很难说,彳,6,11460,v,hěn nánshuō,Hard to say,1
狠,犭,6,3832,a,hěn,"ruthless,fierce,ferocious,determined,to harden (one's heart),old variant of 很",1
狠心,犭,6,17952,a,hěn xīn,"callous; heartless,to resolve (to do sth),firm resolve (as in 心)",1
恨,忄,6,1715,v,hèn,"to hate,to regret",1
恨不得,忄,7,11273,d,hèn bu de,wishing one could do sth; to hate to be unable; itching to do sth,1
哼,口,7,2732,e,hēng,"to groan,to snort,to hum,to croon,humph!",1
横,木,6,5014,g,héng,"horizontal,across,crosswise,horizontal stroke (in Chinese characters),to place (sth) flat (on a surface)",2
横七竖八,木,7,44471,,héng qī shù bā,"in disorder,at sixes and sevens (idiom)",1
横向,木,7,14387,n,héng xiàng,"horizontal,orthogonal,perpendicular,lateral,crosswise",1
衡量,行,6,7561,v,héng liáng,"to weigh,to examine,to consider",1
轰,车,7,6668,v,hōng,"explosion,bang,boom,rumble,to attack,to shoo away,to expel",1
轰动,车,7,9626,vn,hōng dòng,"to cause a sensation,to create a stir in (a place),commotion,controversy",1
轰炸,车,7,8976,v,hōng zhà,"to bomb,to bombard",1
哄,口,7,6776,v,hōng,"roar of laughter (onom.),hubbub,to roar (as a crowd)",4
哄堂大笑,口,7,43850,v,hōng táng dà xiào,the whole room roaring with laughter (idiom),1
烘,火,7,18172,v,hōng,"to bake,to heat by fire,to set off by contrast",1
烘干,火,7,18403,v,hōng gān,to dry over a stove,1
烘托,火,7,38737,v,hōng tuō,"background (of a painting),backdrop,a foil (to set off something to advantage),to offset (something to advantage)",1
弘扬,弓,7,35386,v,hóng yáng,"to enhance,to promote,to enrich",1
红,纟,5,794,a,Hóng,surname Hong,2
红包,纟,4,16771,n,hóng bāo,"money wrapped in red as a gift,bonus payment,kickback,bribe",1
红茶,纟,2,21109,n,hóng chá,black tea,1
红灯,纟,7,9549,n,hóng dēng,red light,1
红火,纟,7,19299,a,hóng huǒ,prosperous,1
红酒,纟,3,1000000,,hóng jiǔ,red wine,1
红扑扑,纟,7,61564,z,hóng pū pū,"red,rosy,flushed",1
红润,纟,7,24863,a,hóng rùn,"ruddy,rosy,florid",1
