simplified,radical,level,frequency,pos,pinyin,meanings,count
阿拉伯语,阝,7,27202,nz,Ā lā bó yǔ,Arabic (language),1
阿姨,阝,3,4355,n,ā yí,"maternal aunt,step-mother,childcare worker,nursemaid",1
呵,口,7,5230,y,ā,variant of 啊,2
呵护,口,7,13381,v,hē hù,"to bless,to cherish,to take good care of,to conserve",1
啊,口,2,47,y,ā,"interjection of surprise,Ah!,Oh!",5
哎,口,5,2092,e,āi,"hey!,(interjection used to attract attention or to express surprise or disapprobation)",1
哎呀,口,5,4772,e,āi yā,"interjection of wonder, shock or admiration",1
哎哟,口,6,7054,e,āi yō,"hey,ow,ouch,interjection of pain or surprise",1
哀求,口,7,19304,v,āi qiú,"to entreat,to implore,to plead",1
唉,口,5,2512,e,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!),to sigh",2
挨,扌,7,5720,v,āi,"in order; in sequence,close to; adjacent to",2
挨打,扌,6,15204,v,ái dǎ,"to take a beating,to get thrashed,to come under attack",1
挨家挨户,扌,7,26236,l,āi jiā āi hù,to go from house to house,1
挨着,扌,6,11185,v,āi zhe,near,1
癌,疒,7,6175,n,ái,"cancer,carcinoma,also pr. [yán]",1
癌症,疒,7,4759,n,ái zhèng,cancer,1
矮,矢,3,3952,a,ǎi,"low,short (in length)",1
矮小,矢,4,21508,a,ǎi xiǎo,"short and small,low and small,undersized",1
艾滋病,艹,7,6270,n,ài zī bìng,AIDS (loanword),1
爱,爫,1,130,v,ài,"to love; to be fond of; to like,affection,to be inclined (to do sth); to tend to (happen)",1
爱不释手,爫,7,26355,v,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible,1
爱戴,爫,7,15369,vn,ài dài,"to love and respect,love and respect",1
爱国,爫,4,7528,a,ài guó,"to love one's country,patriotic",1
爱好,爫,2,4902,n,ài hào,"to like; to be fond of; to take pleasure in; to be keen on,interest; hobby",1
爱护,爫,5,10522,v,ài hù,"to cherish,to treasure,to take care of,to love and protect",1
爱理不理,爫,7,69479,v,ài lǐ bù lǐ,(idiom) standoffish; indifferent,1
爱面子,爫,7,44438,a,ài miàn zi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud,1
爱情,爫,4,1164,n,ài qíng,romance; love (romantic),1
爱人,爫,3,4365,n,ài ren,"spouse (PRC),lover (non-PRC)",1
爱惜,爫,7,20535,v,ài xī,"to cherish,to treasure,to use sparingly",1
爱心,爫,4,5809,n,ài xīn,"compassion,kindness,care for others,love,charity (bazaar, golf day etc),heart (the symbol ♥)",1
碍事,石,7,34045,a,ài shì,"to be in the way; to be a hindrance,(usu. in the negative) to be of consequence; to matter",1
暧昧,日,7,11523,a,ài mèi,"vague,ambiguous,equivocal,dubious",1
安,宀,5,1506,v,Ān,surname An,2
安定,宀,7,7377,a,Ān dìng,"Anting township in Tainan county 台南县, Taiwan",2
安抚,宀,7,12099,v,ān fǔ,"to placate,to pacify,to appease",1
安检,宀,4,13665,n,ān jiǎn,"security check (abbr. for 安全检查),to do a security check",1
安静,宀,3,2501,a,ān jìng,"quiet,peaceful,calm",1
安居乐业,宀,6,29270,v,ān jū lè yè,to live in peace and work happily (idiom),1
安眠药,宀,7,16000,n,ān mián yào,sleeping pill,1
安宁,宀,7,9417,an,Ān níng,"Anning District of Lanzhou City 兰州市, Gansu,Anning City, to the west of Kunming 明, Yunnan",2
安排,宀,4,900,v,ān pái,"to arrange,to plan,to set up,arrangements,plans",1
安全,宀,3,364,an,ān quán,"safe; secure,safety; security",1
安慰,宀,5,3563,v,ān wèi,"to comfort,to console",1
安稳,宀,7,12368,a,ān wěn,steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth,1
安详,宀,7,16971,a,ān xiáng,serene,1
安心,宀,7,5992,a,ān xīn,"at ease,to feel relieved,to set one's mind at rest,to keep one's mind on sth",1
安逸,宀,7,14622,a,ān yì,"easy and comfortable,easy",1
安置,宀,7,5845,v,ān zhì,"to find a place for,to help settle down,to arrange for,to get into bed,placement",1
安装,宀,5,3653,v,ān zhuāng,"to install,to erect,to fix,to mount,installation",1
岸,山,6,6867,n,àn,variant of 岸,2
岸上,山,5,18516,s,àn shàng,"ashore,on the riverbank",1
按,扌,4,678,p,àn,"to press,to push,to leave aside or shelve,to control,to restrain,to keep one's hand on,to check or refer to",1
按键,扌,7,13672,n,àn jiàn,"button or key (on a device),keystroke,to press a button",1
按理说,扌,7,25769,v,àn lǐ shuō,it is reasonable to say that...,1
按摩,扌,6,3990,vn,àn mó,"massage,to massage",1
按时,扌,4,7233,d,àn shí,"on time,before deadline,on schedule",1
按说,扌,7,32917,d,àn shuō,in the ordinary course of events; ordinarily; normally,1
按照,扌,4,1378,p,àn zhào,"according to,in accordance with,in the light of,on the basis of",1
案件,木,7,1617,n,àn jiàn,"case,instance",1
案例,木,6,6195,n,àn lì,"case (of fraud, hepatitis, international cooperation etc); instance; example",1
暗,日,5,2594,a,àn,variant of 暗,3
暗地里,日,7,20436,d,àn dì li,secretly; inwardly; on the sly,1
暗杀,日,7,9964,v,àn shā,to assassinate,1
暗示,日,6,4917,v,àn shì,"to hint; to suggest,hint; suggestion",1
暗中,日,7,9222,d,àn zhōng,"in the dark,in secret,on the sly,surreptitiously",1
昂贵,日,6,7743,a,áng guì,"expensive,costly",1
凹,凵,7,10239,a,āo,"depressed,sunken,indented,concave,female (connector etc)",2
凹凸,凵,6,38312,n,āo tū,"concave or convex,bumps and holes,uneven (surface),rugged",1
熬,灬,7,4418,v,āo,"to boil,to simmer",2
熬夜,灬,5,9364,v,áo yè,to stay up late or all night,1
傲,亻,7,7205,g,ào,"proud,arrogant,to despise,unyielding,to defy",1
傲慢,亻,7,11766,a,ào màn,"arrogant,haughty",1
奥秘,大,7,18113,n,ào mì,"secret,mystery",1
奥运会,大,7,5746,n,Aò yùn huì,"abbr. for 奥林匹克运动会,Olympic Games,the Olympics",1
八,八,1,1362,m,bā,eight; 8,1
八卦,八,7,6491,n,bā guà,"the eight divinatory trigrams of the Book of Changes 易经,gossip,gossipy",1
扒,扌,7,8554,v,bā,"to peel,to skin,to tear,to pull down,to cling to (sth on which one is climbing),to dig",2
芭蕾,艹,7,12522,n,bā lěi,ballet (loanword),1
疤,疒,7,9775,n,bā,"scar,scab",1
拔,扌,7,3803,v,bá,"to pull up,to pull out,to draw out by suction,to select,to pick,to stand out (above level),to surpass,to seize",1
拔苗助长,扌,6,59082,,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom),1
把,扌,3,50,p,bǎ,"to hold; to grasp,to hold a baby in position to help it urinate or defecate,handlebar,classifier: handful, bundle",2
把柄,扌,7,20374,n,bǎ bǐng,"handle,(fig.) information that can be used against sb",1
把关,扌,7,24750,v,bǎ guān,"to guard a pass,to check on sth",1
把手,扌,7,8291,n,bǎ shǒu,to shake hands,2
把握,扌,5,3068,v,bǎ wò,"to grasp (also fig.),to seize,to hold,assurance,certainty,sure (of the outcome)",1
把戏,扌,6,15086,n,bǎ xì,"acrobatics; jugglery,trick; ploy",1
靶子,革,7,21978,n,bǎ zi,target,1
坝,土,7,18700,n,bà,"dam,dike; embankment",1
爸,父,1,1142,n,bà,"father,dad,pa,papa",1
爸爸,父,1,908,n,bà ba,(coll.) father; dad,1
霸道,雨,7,15377,a,bà dào,"the Way of the Hegemon,abbr. for 霸王之道,despotic rule,rule by might,evil as opposed to the Way of the King 王道,overbearing",1
霸占,雨,7,17196,v,bà zhàn,"to occupy by force,to seize,to dominate",1
巴不得,巳,7,22440,v,bā bu de,"(coll.) to be eager for,to long for,to look forward to",1
巴结,巳,7,27264,v,bā jie,"to fawn on,to curry favor with,to make up to",1
巴士,巳,4,8312,n,bā shì,"bus (loanword),motor coach",1
吧,口,1,58,y,bā,"bar (loanword) (serving drinks, or providing Internet access etc),to puff (on a pipe etc),(onom.) bang,abbr. for 贴吧",3
罢工,罒,7,8001,vn,bà gōng,"a strike,to go on strike",1
罢了,罒,7,3807,y,bà le,"a modal particle indicating (that's all, only, nothing much)",2
罢免,罒,7,28683,v,bà miǎn,"to remove sb from their post,to dismiss",1
罢休,罒,7,17351,v,bà xiū,"to give up,to abandon (a goal etc),to let sth go,forget it,let the matter drop",1
掰,手,7,11771,v,bāi,"to break off or break open sth with one's hands,(fig.) to break off (a relationship)",1
白,白,5,930,a,Bái,surname Bai,2
白白,白,6,10131,d,bái bái,"in vain,to no purpose,for nothing,white",1
白菜,白,3,16930,n,bái cài,"Chinese cabbage,pak choi",1
白酒,白,4,13749,n,bái jiǔ,"baijiu, a spirit usually distilled from sorghum,(Tw) white wine (abbr. for 酒)",1
白领,白,6,11481,b,bái lǐng,"white-collar,white-collar worker",1
白色,白,2,2643,n,bái sè,"white,fig. reactionary,anti-communist",1
白天,白,1,3645,t,bái tiān,"daytime,during the day,day",1
百,白,1,2455,m,Bǎi,surname Bai,2
百分比,白,7,21781,n,bǎi fēn bǐ,percentage,1
百分点,白,6,10677,n,bǎi fēn diǎn,percentage point,1
百合,白,7,10056,n,bǎi hé,lily,1
百货,白,6,11134,n,bǎi huò,general merchandise,1
百科全书,白,7,22806,n,bǎi kē quán shū,encyclopedia,1
柏树,木,7,38128,n,bǎi shù,"cypress tree,Taiwan pr. [bó shù]",1
摆,扌,6,1854,v,bǎi,"to arrange,to exhibit,to move to and fro,a pendulum",1
摆动,扌,7,16046,v,bǎi dòng,"to sway,to swing,to move back and forth,to oscillate",1
摆放,扌,6,10963,v,bǎi fàng,to set up; to arrange; to lay out,1
摆平,扌,7,16373,v,bǎi píng,"to be fair,to be impartial,to settle (a matter etc)",1
摆设,扌,7,14321,n,bǎi shè,"to set out,to display,to furnish (a room or house)",2
摆脱,扌,6,3424,v,bǎi tuō,"to break away from,to cast off (old ideas etc),to get rid of,to break away (from),to break out (of)",1
败,贝,6,4262,v,bài,"to defeat,to damage,to lose (to an opponent),to fail,to wither",1
败坏,贝,7,19110,v,bài huài,"to ruin,to corrupt,to undermine",1
拜访,手,6,6619,v,bài fǎng,to pay a visit; to call on,1
拜会,手,7,30764,v,bài huì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on,1
拜见,手,7,24574,v,bài jiàn,"to pay a formal visit,to call to pay respects,to meet one's senior or superior",1
拜年,手,6,28932,v,bài nián,"to pay a New Year call,to wish sb a Happy New Year",1
拜托,手,7,5463,v,bài tuō,"to request sb to do sth,please!",1
扳,扌,7,11169,v,bān,"to pull,to turn (sth) around,to turn around (a situation),to recoup",2
班,王,2,1238,n,Bān,surname Ban,2
班级,王,3,10486,n,bān jí,"class (group of students),grade (in school)",1
班长,王,2,9622,n,bān zhǎng,"class monitor,squad leader,team leader",1
班主任,王,5,15965,n,bān zhǔ rèn,teacher in charge of a class,1
颁布,页,7,12004,v,bān bù,"to issue,to proclaim,to enact (laws, decrees etc)",1
颁发,页,7,8003,v,bān fā,"to issue,to promulgate,to award",1
颁奖,页,7,5383,vn,bān jiǎng,to confer an award,1
斑点,文,7,13316,n,bān diǎn,"spot,stain,speckle",1
斑纹,文,6,45968,n,bān wén,"stripe,streak",1
搬,扌,3,2254,v,bān,"to move (i.e. relocate oneself),to move (sth relatively heavy or bulky),to shift,to copy indiscriminately",1
搬家,扌,3,7790,v,bān jiā,"to move house; to relocate,to remove (sth)",1
搬迁,扌,7,14777,v,bān qiān,"to move,to relocate,removal",1
板,木,3,1759,g,bǎn,"board,plank,plate,shutter,table tennis bat,clappers (music),accented beat in Chinese music,hard,stiff",3
板块,木,7,11235,n,bǎn kuài,"slab,(geology) tectonic plate,(fig.) sector (of the stock market or of industry),(economic) bloc",1
版,片,6,1545,n,bǎn,"a register,block of printing,edition,version,page",1
版本,片,6,4464,n,bǎn běn,"version,edition,release",1
办,力,3,691,v,bàn,"to do,to manage,to handle,to go about,to run,to set up,to deal with",1
办不到,力,7,1000000,,bàn bu dào,"impossible,can't be done,no can do,unable to accomplish",1
办法,力,3,538,n,bàn fǎ,"means,method,way (of doing sth)",1
办公,力,4,5310,vn,bàn gōng,"to handle official business,to work (esp. in an office)",1
办公室,力,3,1162,n,bàn gōng shì,"office,business premises,bureau",1
办理,力,4,6575,v,bàn lǐ,to handle; to transact; to conduct,1
办事,力,4,4819,v,bàn shì,"to handle (affairs),to work",1
办事处,力,7,11821,n,bàn shì chù,"office,agency",1
办学,力,7,39436,vn,bàn xué,to run a school,1
半,十,1,727,m,bàn,"half,semi-,incomplete,(after a number) and a half",1
半边天,十,7,37858,n,bàn biān tiān,"half the sky,women of the new society,womenfolk",1
半场,十,7,2794,,bàn chǎng,"half of a game or contest,half-court",1
半岛,十,7,12843,n,bàn dǎo,peninsula,1
半决赛,十,6,10520,n,bàn jué sài,semifinals,1
半路,十,7,15433,n,bàn lù,"halfway,midway,on the way",1
半年,十,1,37795,nr,bàn nián,half a year,1
半数,十,7,11646,m,bàn shù,half the number; half,1
半天,十,3,7467,mq,bàn tiān,"half of the day,a long time,quite a while,midair",1
半途而废,十,7,25389,v,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished,1
半信半疑,十,7,40048,v,bàn xìn bàn yí,"half doubting,dubious,skeptical",1
半夜,十,5,4212,t,bàn yè,"midnight,in the middle of the night",1
半真半假,十,7,70634,,bàn zhēn bàn jiǎ,(idiom) half true and half false,1
伴,亻,7,3537,v,bàn,"partner; companion; comrade; associate,to accompany",1
伴侣,亻,7,6851,n,bàn lǚ,"companion,mate,partner",1
伴随,亻,6,6047,v,bàn suí,"to accompany,to follow,to occur together with,concomitant",1
伴奏,亻,7,13684,v,bàn zòu,to accompany (musically),1
拌,扌,7,9875,v,bàn,"to mix,to mix in,to toss (a salad)",1
扮,扌,7,6738,v,bàn,"to disguise oneself as,to dress up,to play (a role),to put on (an expression)",1
扮演,扌,6,3471,v,bàn yǎn,"to play the role of,to act",1
帮,巾,2,395,v,bāng,old variant of 帮,3
帮忙,巾,2,1860,v,bāng máng,"to help,to lend a hand,to do a favor,to do a good turn",1
帮手,巾,7,10534,n,bāng shǒu,helper; assistant,1
帮助,巾,3,499,v,bāng zhù,"assistance; aid,to help; to assist",1
绑,纟,7,5003,v,bǎng,"to tie,bind or fasten together,to kidnap",1
绑架,纟,7,3992,v,bǎng jià,"to kidnap,to abduct,to hijack,a kidnapping,abduction,staking",1
榜样,木,6,6902,n,bǎng yàng,"example,model",1
傍晚,亻,5,9979,t,bàng wǎn,"in the evening,when night falls,towards evening,at night fall,at dusk",1
棒,木,4,1228,a,bàng,"stick,club,cudgel,smart,capable,strong,wonderful,classifier for legs of a relay race",1
棒球,木,6,9599,n,bàng qiú,baseball,1
磅,石,7,5014,q,bàng,"scale (instrument for weighing),to weigh,(loanword) pound (unit of weight, about 454 grams)",1
包,勹,2,755,v,Bāo,surname Bao,2
包庇,勹,7,20727,v,bāo bì,"to shield,to harbor,to cover up",1
包袱,勹,7,9285,n,bāo fu,"wrapping cloth,a bundle wrapped in cloth,load,weight,burden,funny part,punchline",1
包裹,勹,5,5432,n,bāo guǒ,"to wrap up,to bind up,bundle,parcel,package",1
包含,勹,5,5524,v,bāo hán,"to contain,to embody,to include",1
包括,勹,5,788,v,bāo kuò,"to comprise,to include,to involve,to incorporate,to consist of",1
包容,勹,7,10708,v,bāo róng,"to pardon,to forgive,to show tolerance,to contain,to hold,inclusive",1
包围,勹,7,5295,v,bāo wéi,"to surround,to encircle,to hem in",1
包扎,勹,7,14432,v,bāo zā,variant of 包扎,2
包装,勹,5,4634,n,bāo zhuāng,"to pack,to package,to wrap,packaging",1
包子,勹,1,16315,n,bāo zi,bao (steamed stuffed bun),1
煲,火,7,14364,v,bāo,"to cook slowly over a low flame,pot,saucepan",1
薄,艹,5,4129,a,Bó,surname Bo,4
薄弱,艹,6,10648,a,bó ruò,weak; frail,1
宝,宀,5,1908,n,bǎo,variant of 宝,2
宝宝,宀,4,1968,n,bǎo bao,darling; baby,1
宝贝,宀,5,1003,n,bǎo bèi,"treasured object,treasure,darling,baby,cowry,good-for-nothing or queer character",1
宝藏,宀,7,11504,n,bǎo zàng,"precious mineral deposits,hidden treasure,(fig.) treasure,(Buddhism) the treasure of Buddha's law",1
宝贵,宀,5,5572,a,bǎo guì,"valuable,precious,to value,to treasure,to set store by",1
宝库,宀,7,22455,n,bǎo kù,"treasure-house,treasury,treasure-trove (often fig., book of treasured wisdom)",1
宝石,宀,7,8615,n,bǎo shí,precious stone; gem,1
饱,饣,3,4742,a,bǎo,"to eat till full,satisfied",1
饱和,饣,7,19403,v,bǎo hé,saturated; filled to capacity,1
饱经沧桑,饣,7,86660,v,bǎo jīng cāng sāng,having lived through many changes,1
饱满,饣,7,16473,a,bǎo mǎn,"full,plump",1
保,亻,5,1597,v,Bǎo,"Bulgaria,Bulgarian,abbr. for 保加利亚",2
保安,亻,5,3028,b,bǎo ān,"to ensure public security,to ensure safety (for workers engaged in production),public security,security guard",1
保持,亻,5,644,v,bǎo chí,"to keep,to maintain,to hold,to preserve",1
保存,亻,5,3916,v,bǎo cún,"to conserve,to preserve,to keep,to save (a file etc) (computing)",1
保管,亻,6,7305,v,bǎo guǎn,"to hold in safekeeping,to have in one's care,to guarantee,certainly,surely,custodian,curator",1
保护,亻,4,536,v,bǎo hù,"to protect,to defend,to safeguard,protection",1
保健,亻,6,8782,n,bǎo jiàn,"health protection,health care,to maintain in good health",1
保留,亻,5,2921,v,bǎo liú,"to keep,to retain,to have reservations (about sth),to hold back (from saying sth),to put aside for later",1
保密,亻,7,5279,v,bǎo mì,"to keep sth confidential,to maintain secrecy",1
保姆,亻,7,5382,n,bǎo mǔ,"nanny,housekeeper",1
保暖,亻,6,9897,a,bǎo nuǎn,to keep warm,1
保守,亻,7,4898,a,bǎo shǒu,"conservative,to guard,to keep",1
保卫,亻,7,5011,v,bǎo wèi,"to defend,to safeguard",1
保鲜,亻,7,16569,vn,bǎo xiān,to keep fresh,1
保险,亻,5,1430,n,bǎo xiǎn,"insurance,to insure,safe,secure,be sure,be bound to",1
保修,亻,6,22465,v,bǎo xiū,"to promise to keep sth in good repair,guarantee; warranty",1
保养,亻,7,10030,v,bǎo yǎng,"to take good care of (or conserve) one's health,to keep in good repair,to maintain,maintenance",1
保佑,亻,7,4727,v,bǎo yòu,"to bless and protect,blessing",1
保障,亻,6,3491,vn,bǎo zhàng,"to ensure,to guarantee,to safeguard",1
保证,亻,4,586,v,bǎo zhèng,"guarantee,to guarantee,to ensure,to safeguard,to pledge",1
保质期,亻,5,23667,n,bǎo zhì qī,"shelf life,expiration date",1
保重,亻,7,9105,v,bǎo zhòng,to take care of oneself,1
堡垒,土,7,12525,n,bǎo lěi,fort,1
报,扌,7,967,n,bào,"to announce,to inform,report,newspaper,recompense,revenge",1
报仇,扌,7,8334,v,bào chóu,"to take revenge,to avenge",1
报酬,扌,7,6322,n,bào chou,"reward,remuneration",1
报答,扌,7,11736,v,bào dá,"to repay,to requite",1
报到,扌,5,8953,v,bào dào,"to report for duty,to check in,to register",1
报道,扌,5,886,v,bào dào,"to report (news),report",1
报废,扌,7,15621,v,bào fèi,to scrap; to dispose of (sth worn-out or damaged),1
报复,扌,7,4880,v,bào fù,"to make reprisals; to retaliate,revenge; retaliation",1
报告,扌,5,681,n,bào gào,"to inform,to report,to make known,report,speech,talk,lecture",1
报警,扌,5,2972,v,bào jǐng,"to sound an alarm,to report sth to the police",1
报刊,扌,6,15103,n,bào kān,"newspapers and periodicals,the press",1
报考,扌,4,23743,v,bào kǎo,to enter oneself for an examination,1
报名,扌,4,4602,v,bào míng,"to sign up,to enter one's name,to apply,to register,to enroll,to enlist",1
报社,扌,6,8300,n,bào shè,newspaper (i.e. a company),1
报亭,扌,7,1000000,,bào tíng,"kiosk,newsstand",1
报销,扌,7,12447,v,bào xiāo,"to submit an expense account,to apply for reimbursement,to write off,to wipe out",1
报纸,扌,3,2232,n,bào zhǐ,"newspaper,newsprint",1
抱,扌,4,1238,v,bào,"to hold,to carry (in one's arms),to hug,to embrace,to surround,to cherish,(coll.) (of clothes) to fit nicely",1
抱负,扌,7,20578,n,bào fù,"aspiration,ambition",1
抱歉,扌,4,4909,a,bào qiàn,"to be sorry,to feel apologetic,sorry!",1
抱怨,扌,5,3331,v,bào yuàn,"to complain,to grumble,to harbor a complaint,to feel dissatisfied",1
豹,豸,7,7248,n,bào,"leopard,panther",1
暴风雨,日,6,13978,n,bào fēng yǔ,"rainstorm,storm,tempest",1
暴风骤雨,日,7,47595,l,bào fēng zhòu yǔ,"violent wind and rainstorm,hurricane,tempest",1
暴力,日,6,2995,n,bào lì,"violence,force,violent",1
暴利,日,7,27880,n,bào lì,sudden huge profits,1
暴露,日,6,3702,v,bào lù,"to expose,to reveal,to lay bare,also pr. [pù lù]",1
暴雨,日,5,10782,n,bào yǔ,"torrential rain,rainstorm",1
暴躁,日,7,12213,a,bào zào,"irascible,irritable,violent",1
爆,火,6,1953,v,bào,"to explode or burst,to quick fry or quick boil",1
爆发,火,6,3458,v,bào fā,"to break out,to erupt,to explode,to burst out",1
爆冷门,火,7,84475,v,bào lěng mén,"an upset (esp. in sports),unexpected turn of events,to pull off a coup,a breakthrough",1
爆满,火,7,24881,v,bào mǎn,"filled to capacity (of theater, stadium, gymnasium etc)",1
爆炸,火,6,1772,v,bào zhà,"explosion,to explode,to blow up,to detonate",1
爆竹,火,7,16172,n,bào zhú,firecracker,1
卑鄙,十,7,10658,a,bēi bǐ,"base,mean,contemptible,despicable",1
杯,木,1,684,q,bēi,"cup,trophy cup,classifier for certain containers of liquids: glass, cup",3
杯子,木,1,6162,n,bēi zi,"cup,glass",1
悲哀,心,7,6059,an,bēi āi,"grieved,sorrowful",1
悲惨,心,7,8154,a,bēi cǎn,"miserable,tragic",1
悲观,心,6,10593,a,bēi guān,pessimistic,1
悲欢离合,心,7,57812,l,bēi huān lí hé,"joys and sorrows,partings and reunions,the vicissitudes of life",1
悲剧,心,6,3680,n,bēi jù,tragedy,1
悲伤,心,6,3739,a,bēi shāng,sad; sorrowful,1
悲痛,心,7,10078,an,bēi tòng,"grieved,sorrowful",1
碑,石,7,16576,n,bēi,"a monument,an upright stone tablet,stele",1
北,匕,3,1835,f,běi,"north,(classical) to be defeated",1
北边,匕,1,17637,f,běi biān,"north,north side,northern part,to the north of",1
北部,匕,4,5420,f,běi bù,northern part,1
北方,匕,3,4879,s,běi fāng,"north,the northern part a country,China north of the Yellow River",1
北极,匕,6,13047,n,běi jí,"the North Pole; the Arctic Pole,the north magnetic pole",1
北京,匕,1,4799,ns,Běi jīng,"Beijing, capital of the People's Republic of China",1
贝壳,贝,7,16537,n,bèi ké,"shell,conch,cowry,mother of pearl,hard outer skin,also pr. [bèi qiào]",1
备份,夂,7,12070,n,bèi fèn,backup,1
备课,夂,7,33147,v,bèi kè,(of a teacher) to prepare lessons,1
备受,夂,7,8775,v,bèi shòu,to fully experience (good or bad),1
备忘录,夂,7,10931,n,bèi wàng lù,"memorandum,aide-memoire,memorandum book",1
备用,夂,6,7153,vn,bèi yòng,"reserve,spare,alternate,backup",1
背,⺼,4,1623,v,bēi,variant of 背,3
背包,⺼,4,8274,n,bēi bāo,"knapsack,rucksack,infantry pack,field pack,blanket roll",1
背后,⺼,5,2349,f,bèi hòu,"behind,at the back,in the rear,behind sb's back",1
背景,⺼,5,2420,n,bèi jǐng,"background; backdrop; context,(fig.) powerful backer",1
背面,⺼,7,10439,f,bèi miàn,"the back,the reverse side,the wrong side",1
背叛,⺼,7,5017,v,bèi pàn,to betray,1
背诵,⺼,7,19524,v,bèi sòng,"to recite,to repeat from memory",1
背心,⺼,6,10100,n,bèi xīn,"sleeveless garment (vest, waistcoat, singlet, tank top etc)",1
背着,⺼,6,9984,v,bēi zhe,carrying on one's back,2
倍,亻,4,1396,q,bèi,"(two, three etc) -fold,times (multiplier),double,to increase or multiply",1
被,衤,3,54,p,bèi,"quilt,to cover (with),(literary) to suffer (a misfortune)",1
被捕,衤,7,6219,v,bèi bǔ,"to be arrested,under arrest",1
被动,衤,6,9120,a,bèi dòng,passive,1
被告,衤,7,3643,n,bèi gào,defendant,1
被迫,衤,6,4859,d,bèi pò,"to be compelled,to be forced",1
被子,衤,5,8179,n,bèi zi,quilt,1
辈,非,5,10523,n,bèi,"lifetime,generation,group of people,class,classifier for generations,(literary) classifier for people",1
奔,大,7,5778,v,bēn,"to hurry,to rush,to run quickly,to elope",5
奔波,大,7,12069,v,bēn bō,"to rush about,to be constantly on the move",1
奔驰,大,7,7787,nz,Bēn chí,"Benz (name),Mercedes-Benz, German car maker",2
奔赴,大,7,21998,v,bēn fù,"to rush to,to hurry to",1
奔跑,大,6,9573,v,bēn pǎo,to run,1
本,木,1,222,r,běn,"root,stem,origin,source,this,the current,original,inherent,originally,classifier for books, periodicals, files etc",1
本地,木,5,3477,r,běn dì,"local,this locality",1
本分,木,7,23007,n,běn fèn,"(to play) one's part,one's role,one's duty,(to stay within) one's bounds,dutiful,keeping to one's role",1
本科,木,4,16998,n,běn kē,"undergraduate course,undergraduate (attributive)",1
本来,木,4,1093,d,běn lái,"original,originally,at first,it goes without saying,of course",1
本领,木,5,10811,n,běn lǐng,"skill,ability,capability",1
本能,木,6,7537,n,běn néng,instinct,1
本期,木,6,20997,r,běn qī,"the current period,this term (usually in finance)",1
本钱,木,7,18266,n,běn qián,"capital,(fig.) asset; advantage; the means (to do sth)",1
本人,木,5,2656,r,běn rén,"I; me; myself,oneself; yourself; himself; herself; the person concerned",1
本色,木,7,10431,n,běn sè,"inherent qualities,natural qualities,distinctive character,true qualities",2
本身,木,6,2405,r,běn shēn,"itself,in itself,per se",1
本事,木,7,5333,n,běn shì,"source material,original story",2
本土,木,6,7660,n,běn tǔ,"one's native country,native,local,metropolitan territory",1
本性,木,7,8657,n,běn xìng,"natural instincts,nature,inherent quality",1
本意,木,7,13124,n,běn yì,"original idea,real intention,etymon",1
本着,木,7,19101,p,běn zhe,"based on...,in conformance with..,taking as one's main principle",1
本质,木,5,5084,n,běn zhì,"essence,nature,innate character,intrinsic quality",1
本子,木,2,12849,n,běn zi,"book,notebook,Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi"",edition",1
笨,⺮,4,3806,a,bèn,"stupid,foolish,silly,slow-witted,clumsy",1
笨蛋,⺮,7,5816,n,bèn dàn,"fool,idiot",1
笨重,⺮,7,25279,a,bèn zhòng,"heavy,cumbersome,unwieldy",1
笨拙,⺮,7,17203,a,bèn zhuō,"clumsy,awkward,stupid",1
崩溃,山,7,4192,v,bēng kuì,to collapse; to crumble; to fall apart,1
甭,用,6,15279,v,béng,(contraction of 用) need not; please don't,2
绷,纟,7,11156,v,bēng,"variant of 绷,variant of 绷",3
绷带,纟,7,16542,n,bēng dài,bandage (loanword),1
迸发,辶,7,23536,v,bèng fā,to burst forth,1
蹦,足,7,7023,v,bèng,"to jump,to bounce,to hop",1
逼,辶,6,1122,v,bī,"variant of 逼,to compel,to pressure",2
逼近,辶,7,12487,v,bī jìn,"to press on towards,to close in on,to approach,to draw near",1
逼迫,辶,7,13026,v,bī pò,"to force,to compel,to coerce",1
逼真,辶,7,13735,a,bī zhēn,"lifelike,true to life,distinctly,clearly",1
鼻涕,鼻,7,12144,n,bí tì,nasal mucus; snivel; snot,1
鼻子,鼻,4,3484,n,bí zi,nose,1
比,比,2,155,p,Bǐ,"Belgium,Belgian,abbr. for 比利时",3
比比皆是,比,7,29754,v,bǐ bǐ jiē shì,can be found everywhere,1
比不上,比,7,11223,v,bǐ bù shàng,can't compare with,1
比方,比,6,11193,v,bǐ fang,"analogy,instance,for instance",1
比分,比,5,4795,n,bǐ fēn,score,1
比较,比,3,607,d,bǐ jiào,"to compare,to contrast,comparatively,relatively,quite,comparison",1
比例,比,5,4723,n,bǐ lì,"proportion,scale",1
